[13:43:31:909] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/scanners/MediaTypeReader.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/scanners/ApiListingScanner.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/scanners/ApiModelReader.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/scanners/ApiDescriptionLookup.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationModelsProvider.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationDeprecatedReader.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/ResponseMessagesReader.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationParameterReader.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/OperationTagsReader.class]
[13:43:31:924] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/D:/programs/maven/apache-maven-3.6.3/repository/io/springfox/springfox-spring-web/3.0.0/springfox-spring-web-3.0.0.jar!/springfox/documentation/spring/web/readers/operation/ApiOperationReader.class]
